id,content,date_posted,author_id,title
1,"The Battle of Marineford was a momentous war that took place on the island of Marineford between the Whitebeard Pirates and their allies, led by the Emperor, Edward ""Whitebeard"" Newgate, and the entirety of Marine Headquarters' forces, including the Seven Warlords of the Sea, over the execution of the Whitebeard Pirates' second division commander.

The clash resulted in the Whitebeard Pirates' failure to save Ace[1] and the death of their captain, Whitebeard, along with many other comrades.[2] Despite the conflict being an overwhelming victory for the Marines, the aftermath of the battle showed an increase of pirate activities worldwide due to Whitebeard's final words that confirmed the existence of One Piece. The conflict also led to multiple major power shifts in the world.","2020-11-30 17:45:24",1,"Marine Ford"
3,"The Alabasta Arc is the eleventh story arc in the manga and anime, One Piece. It is also the fifth and final arc in the Alabasta Saga.

The Straw Hats finally reach the desert kingdom of Alabasta and begin their race across the land to reach Alubarna before a massive war breaks out between the kingdom's royal guards and the rebels. However, the true perpetrator of the war, Mr. 0 and the remaining Baroque Works officer agents stand in the way of reaching their goal.

The kingdom of Alabasta is on Sandy Island, the fourth island the Straw Hat Pirates encounter in the Grand Line. It is a large desert kingdom ruled by king Nefertari Cobra.","2020-12-01 11:55:24.031710",1,"Alabasta Arc"
4,"<p>The&nbsp;<strong>Punk Hazard Arc</strong>&nbsp;is the twenty-sixth story arc in the series and the first in the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Dressrosa_Saga"" title=""Dressrosa Saga"">Dressrosa Saga</a>&nbsp;of the&nbsp;<a href=""https://onepiece.fandom.com/wiki/One_Piece_(Anime)"" title=""One Piece (Anime)""><em>One Piece</em>&nbsp;series</a>, continuing on from the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Fish-Man_Island_Arc"" title=""Fish-Man Island Arc"">Fish-Man Island Arc</a>&nbsp;and the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Fish-Man_Island_Saga"" title=""Fish-Man Island Saga"">Fish-Man Island Saga</a>.</p>

<p>Upon finally entering the&nbsp;<a href=""https://onepiece.fandom.com/wiki/New_World"" title=""New World"">New World</a>, the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Straw_Hat_Pirates"" title=""Straw Hat Pirates"">Straw Hat Pirates</a>&nbsp;immediately receive a distress call from a group of people on an island called&nbsp;<a href=""https://onepiece.fandom.com/wiki/Punk_Hazard"" title=""Punk Hazard"">Punk Hazard</a>, stating that they are being attacked by a&nbsp;<a href=""https://onepiece.fandom.com/wiki/Kin%27emon"" title=""Kin'emon"">samurai</a>. Without hesitation,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Monkey_D._Luffy"" title=""Monkey D. Luffy"">Luffy</a>&nbsp;sets out to the blazing island, with&nbsp;<a href=""https://onepiece.fandom.com/wiki/Vice_Admiral"" title=""Vice Admiral"">Vice Admiral</a>&nbsp;<a href=""https://onepiece.fandom.com/wiki/Smoker"" title=""Smoker"">Smoker</a>&nbsp;hot on his tail. On the supposedly death-ridden and empty island, the Straw Hats soon learn that they are not alone, meeting many new and old foes as they explore the purpose of the island. Punk Hazard&nbsp;is made up of a frozen side and a burning side. The island also contains the abandoned research laboratories of Dr.&nbsp;<a href=""https://onepiece.fandom.com/wiki/Vegapunk"" title=""Vegapunk"">Vegapunk</a>.</p>

<p><strong>Punk Hazard is the first island the Straw Hats enc</strong></p>","2020-12-01 13:14:57",1,"Punk Hazard Arc"
5,"<p>The sixteenth season of the&nbsp;<em><a href=""https://en.wikipedia.org/wiki/One_Piece_(TV_series)"" title=""One Piece (TV series)"">One Piece</a></em>&nbsp;<a href=""https://en.wikipedia.org/wiki/Anime"" title=""Anime"">anime</a>&nbsp;series was produced by&nbsp;<a href=""https://en.wikipedia.org/wiki/Toei_Animation"" title=""Toei Animation"">Toei Animation</a>, and directed by Hiroaki Miyamoto. The season began broadcasting in Japan on&nbsp;<a href=""https://en.wikipedia.org/wiki/Fuji_Television"" title=""Fuji Television"">Fuji Television</a>&nbsp;from January 6, 2013 to January 12, 2014.<a href=""https://en.wikipedia.org/wiki/One_Piece_(season_16)#cite_note-1"">[1]</a>&nbsp;Like the rest of the series, it follows the adventures of&nbsp;<a href=""https://en.wikipedia.org/wiki/Monkey_D._Luffy"" title=""Monkey D. Luffy"">Monkey D. Luffy</a>&nbsp;and his Straw Hat Pirates. The first of twelve DVD compilations was released on January 8, 2014, with the last being released on June 4, 2014.</p>","2020-12-01 13:16:30.152219",1,"Punk Hazard Arc 2"
8,"<p><s><u><em><strong>The&nbsp;Whole Cake Island Arc&nbsp;(ホールケーキアイランド編&nbsp;Hōru Kēki Airando Hen<a href=""http://en.wikipedia.org/wiki/Help:Japanese"" title=""wikipedia:Help:Japanese"">?</a>), also known as the&nbsp;Sanji Retrieval Arc&nbsp;and the&nbsp;Tea Party From Hell Arc, is the twenty-ninth story arc in the series and the second in the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Four_Emperors_Saga"" title=""Four Emperors Saga"">Four Emperors Saga</a>&nbsp;of&nbsp;<a href=""https://onepiece.fandom.com/wiki/One_Piece_(Manga)"" title=""One Piece (Manga)"">One Piece</a>, continuing from the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Zou_Arc"" title=""Zou Arc"">Zou Arc</a>.</strong></em></u></s></p>

<p><s><u><em><strong><a href=""https://onepiece.fandom.com/wiki/Monkey_D._Luffy"" title=""Monkey D. Luffy"">Monkey D. Luffy</a>,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Nami"" title=""Nami"">Nami</a>,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Tony_Tony_Chopper"" title=""Tony Tony Chopper"">Tony Tony Chopper</a>,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Brook"" title=""Brook"">Brook</a>, and the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Mink_Tribe"" title=""Mink Tribe"">minks</a>&nbsp;<a href=""https://onepiece.fandom.com/wiki/Pekoms"" title=""Pekoms"">Pekoms</a>,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Pedro"" title=""Pedro"">Pedro</a>, and&nbsp;<a href=""https://onepiece.fandom.com/wiki/Carrot"" title=""Carrot"">Carrot</a>&nbsp;head to&nbsp;<a href=""https://onepiece.fandom.com/wiki/Whole_Cake_Island"" title=""Whole Cake Island"">Whole Cake Island</a>, where&nbsp;<a href=""https://onepiece.fandom.com/wiki/Charlotte_Linlin"" title=""Charlotte Linlin"">Big Mom</a>&nbsp;of the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Four_Emperors"" title=""Four Emperors"">Four Emperors</a>&nbsp;resides. Nicknamed the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Straw_Hat_Pirates#Crew_Members"" title=""Straw Hat Pirates"">Sanji Retrieval Team</a>,<a href=""https://onepiece.fandom.com/wiki/Whole_Cake_Island_Arc#cite_note-1"">[1]</a>&nbsp;the group seeks to rescue their crewmate&nbsp;<a href=""https://onepiece.fandom.com/wiki/Sanji"" title=""Sanji"">Sanji</a>&nbsp;from his arranged marriage with&nbsp;<a href=""https://onepiece.fandom.com/wiki/Charlotte_Pudding"" title=""Charlotte Pudding"">Charlotte Pudding</a>, set up to finalize a political alliance between the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Charlotte_Family"" title=""Charlotte Family"">Charlotte Family</a>&nbsp;and the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Vinsmoke_Family"" title=""Vinsmoke Family"">Vinsmoke Family</a>. In the midst of their operation, however, they become involved in a plot seeking to take down Big Mom herself.</strong></em></u></s></p>","2020-12-01 17:46:37.097199",1,"Whole Cake Island Arc English"
9,"<p>Nami is a slim young woman of average height with orange hair and&nbsp;brown eyes. Most people consider her to be very attractive or even beautiful.<a href=""https://onepiece.fandom.com/wiki/Nami#cite_note-Oda.27s_Statement-21"">[21]</a>&nbsp;She has a black tattoo (blue in the anime)<a href=""https://onepiece.fandom.com/wiki/Nami#cite_note-22"">[22]</a>&nbsp;on her left shoulder, which represents&nbsp;<em><a href=""https://onepiece.fandom.com/wiki/Mikan"" title=""Mikan"">mikan</a></em>, and pinwheels (a homage to&nbsp;<a href=""https://onepiece.fandom.com/wiki/Bell-m%C3%A8re"" title=""Bell-mère"">Bell-m&egrave;re</a>,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Nojiko"" title=""Nojiko"">Nojiko</a>, and&nbsp;<a href=""https://onepiece.fandom.com/wiki/Genzo"" title=""Genzo"">Genzo</a>, respectively), where she used to have a tattoo for being a member of&nbsp;<a href=""https://onepiece.fandom.com/wiki/Arlong"" title=""Arlong"">Arlong</a>&#39;s crew.<a href=""https://onepiece.fandom.com/wiki/Nami#cite_note-Arlong.27s_jolly_roger_tattoo-2"">[2]</a></p>

<p>Her overall physique matures slowly throughout the series and then suddenly during the timeskip (though this is most likely a simple change in style of artwork). Her fashion frequently changes as does her hair style. Many of her shirts feature four-letter words, such as &quot;Gold&quot; or &quot;EVIL&quot;, similar to a shirt that&nbsp;<a href=""https://onepiece.fandom.com/wiki/Bell-m%C3%A8re"" title=""Bell-mère"">Bell-m&egrave;re</a>&nbsp;once wore that had &quot;MACE&quot; on it. On her left wrist, she wears the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Log_Pose"" title=""Log Pose"">Log Pose</a>, which she needs in order to be the navigator of the ship, and a gold bracelet, given to her by her sister,&nbsp;<a href=""https://onepiece.fandom.com/wiki/Nojiko"" title=""Nojiko"">Nojiko</a>.<a href=""https://onepiece.fandom.com/wiki/Nami#cite_note-23"">[23]</a>&nbsp;After the Arlong Park Arc, Nami frequently changes into a variety of clothes in the series for each arc, and usually pairs her tops with skirts that have two rings on the sides. Her trademark shoes are orange high-heeled gladiator sandals. Nami wears some form of high heels in every arc, and while they do make her taller, they do not seem to affect the way she walks or her speed. Though she tends to style her hair neatly, occasionally, a hair on top of her head may form into a messy cowlick.</p>

<p>She wears a strap around her thigh with three slots in it which she keeps each pole of her bo staff and later&nbsp;the&nbsp;<a href=""https://onepiece.fandom.com/wiki/Clima-Tact"" title=""Clima-Tact"">Clima-Tact</a>&nbsp;in.</p>","2020-12-01 18:06:30.863544",5,Nami
10,"<p><strong>When&nbsp;Guido van Rossum&nbsp;developed Python in the 1990s as his side project, nobody has thought it would be the most popular programming language one day. Considering all well-recognized rankings and industry trends, I put Python as the number one programming language overall.</strong></p>

<p><strong>Python has not seen a meteoric rise in popularity like Java or C/C++. Also, Python is not a disruptive programming language. But from the very beginning,&nbsp;Python has focused on developer experience&nbsp;and tried to lower the barrier to programming so that school kids can also write production-grade code.</strong></p>

<p><strong>In 2008, Python went through a massive overhaul and improvement with the cost of introducing significant breaking changes by introducing Python 3.</strong></p>

<p><strong>Today, Python is omnipresent and used in many areas of software development, with no sign of slowing down.</strong></p>","2020-12-01 18:55:40.025617",1,Python
11,"<p><em>During the first browser war, Netscape<strong>&nbsp;</strong>had assigned&nbsp;<strong>Brendan Eich</strong><strong>&nbsp;</strong>to develop a new programming language for its Browser<strong>. Brendan Eich&nbsp;</strong>had developed the initial prototype in only ten days, and the rest is history<strong>.&nbsp;</strong>Software developers often ridiculed JavaScript in its early days because of its poor language design and lack of features.</em></p>

<p><em>Over the years, JavaScript has evolved into a multi-paradigm, high-level, dynamic programming language. The first significant breakthrough of JavaScript came in 2009 when&nbsp;<strong>Ryan Dahl</strong>&nbsp;has released cross-platform JavaScript runtime&nbsp;<strong>Node.js</strong>&nbsp;and enabled JavaScript to run on Server Side.</em></p>

<p><em>The other enormous breakthrough of JavaScript came around 2010 when Google has released a JavaScript based&nbsp;<strong>Web development framework AngularJS</strong>.</em></p>

<p><em>Today, JavaScript is one of the most widely used programming languages in the world and runs on virtually everywhere: Browsers, Servers, Mobile Devices, Cloud, Containers, Micro-controllers.</em></p>","2020-12-01 18:56:32.058659",1,JavaScript
12,"<p>Java is one of the most disruptive programming languages to date. Back in the &rsquo;90s, business applications were mainly developed using C++, which was quite complicated and platform dependent.&nbsp;<strong>James Gosling</strong>&nbsp;and his team in Sun lowered the barrier to develop business applications by offering a much simpler, object-oriented, interpreted programming language that also supports Multi-threading programming.</p>

<p>Java has achieved Platform independence by developing Java Virtual Machine (JVM), which abstracted the low-level Operating System from developers and gave the first &ldquo;<strong>Write Once, Run anywhere</strong>&rdquo; programming language. Also, JVM offered generation garbage collection, which manages the Object life cycle.</p>

<p>In recent years, Java has lost some of its markets to highly developer-friendly modern languages and the rise of other languages, especially Python, JavaScript. Also, JVM is not quite Cloud friendly because of its bulky size. Oracle has recently introduced hefty licensing fees for JDK, which will dent Java&rsquo;s popularity further.</p>

<p>Fortunately, Java is working on its shortcomings and trying to make Java fit for Cloud via the GraalVM initiative. Also, in OpenJDK, there is a free alternative to the proprietary Oracle JDK.</p>

<p>Java is still the number one programming language for enterprises.</p>","2020-12-01 18:57:32.509088",5,Java
13,"<p>During the 1960s and 1970s, every cycle of the CPU and every byte of memory was expensive.&nbsp;<strong>Dennis Ritchie</strong>, a Bell lab engineer, has developed a procedural, general-purpose programming language that is compiled directly to machine language during the 1969&ndash;1973.&nbsp;<strong>C programming offers low-level access to memory and gives full control over the underlying hardware</strong>.</p>

<p>Over the years, C became one of the most used programming languages. Besides, C is arguably the most disruptive and influential programming language in history and has influenced almost all other languages on this list.</p>

<p>Although C is often criticized for its accidental complexity, unsafe programming, and lack of features. Also, C is platform-dependent, i.e., C code is not portable. But if you want to make the most use of your hardware, then C/C++ or Rust is your only option.</p>","2020-12-01 18:58:33.388356",5,C
